,Page_Link,Page_Address,Price,Price_Change,Sys_Date
70,http://www.har.com/1309-caplin-st/sale_34350824,"1309 Caplin St, Houston, TX 77022",209900,None,06/04/2017
71,http://www.har.com/741-worthshire-st-0/sale_42734695,"741 Worthshire St #0, Houston, TX 77008",209900,price-reduction,06/04/2017
72,http://www.har.com/913-oak-st/sale_65915944,"913 Oak St, Houston, TX 77018",210000,None,06/04/2017
73,http://www.har.com/903-lehman-st/sale_19577436,"903 Lehman St, Houston, TX 77018",215000,None,06/04/2017
74,http://www.har.com/406-barkley-st/sale_54176034,"406 Barkley St, Houston, TX 77022",219000,price-reduction,06/04/2017
75,http://www.har.com/1860-white-oak-dr-201/sale_83107864,"1860 White Oak Dr #201, Houston, TX 77009",222000,None,06/04/2017
76,http://www.har.com/4106-europa-st/sale_22893484,"4106 Europa St, Houston, TX 77022",225000,None,06/04/2017
77,http://www.har.com/306-stiles-st/sale_21877468,"306 Stiles St, Houston, TX 77011",225000,None,06/04/2017
78,http://www.har.com/4423-harvard-st/sale_58168764,"4423 Harvard St, Houston, TX 77018",228000,price-reduction,06/04/2017
79,http://www.har.com/630-w-22nd-st-a/sale_88112419,"630 W 22nd St #A, Houston, TX 77008",229000,None,06/04/2017
80,http://www.har.com/5206-a-hershe/sale_51393264,"5206-A Hershe, Houston, TX 77020",229900,None,06/04/2017
81,http://www.har.com/1319-idylwild-st/sale_2255441,"1319 Idylwild St, Houston, TX 77009",229900,price-reduction,06/04/2017
82,http://www.har.com/810-e-32nd-st/sale_16537531,"810 E 32nd St, Houston, TX 77022",229900,None,06/04/2017
83,http://www.har.com/5018-gano-st/sale_35252844,"5018 Gano St, Houston, TX 77009",230000,None,06/04/2017
84,http://www.har.com/5206-b-hershe/sale_61231201,"5206-B Hershe, Houston, TX 77020",232900,None,06/04/2017
85,http://www.har.com/2526-roy-cir/sale_6059650,"2526 Roy Cir, Houston, TX 77007",234000,price-reduction,06/04/2017
86,http://www.har.com/5214-robertson-st/sale_43417442,"5214 Robertson St, Houston, TX 77009",235000,None,06/04/2017
87,http://www.har.com/784-worthshire-st/sale_79324240,"784 Worthshire St, Houston, TX 77008",236900,None,06/04/2017
88,http://www.har.com/2112-common/sale_89277674,"2112 Common, Houston, TX 77009",239000,None,06/04/2017
89,http://www.har.com/5405-n-capitol/sale_34050264,"5405 N Capitol, Houston, TX 77011",239000,None,06/04/2017
90,http://www.har.com/1043-w-30th-st/sale_34315468,"1043 W 30th St, Houston, TX 77018",239000,None,06/04/2017
91,http://www.har.com/416-forest-hill/sale_57178944,"416 Forest Hill, Houston, TX 77011",239900,None,06/04/2017
92,http://www.har.com/4622-n-ella-blvd/sale_23161535,"4622 N Ella Blvd, Houston, TX 77018",240000,price-reduction,06/04/2017
93,http://www.har.com/6533-enid-st/sale_6011864,"6533 Enid St, Houston, TX 77022",242900,price-reduction,06/04/2017
94,http://www.har.com/407-71st/sale_7817343,"407 71st, Houston, TX 77011",244000,price-reduction,06/04/2017
95,http://www.har.com/1115-hays-st/sale_86473364,"1115 Hays St, Houston, TX 77009",246000,price-reduction,06/04/2017
96,http://www.har.com/2120-gentry-st/sale_68624645,"2120 Gentry St, Houston, TX 77009",249000,None,06/04/2017
97,http://www.har.com/212-gale-st/sale_97578320,"212 Gale St, Houston, TX 77009",249000,None,06/04/2017
98,http://www.har.com/4314-cetti-st/sale_4741042,"4314 Cetti St, Houston, TX 77009",249900,price-reduction,06/04/2017
99,http://www.har.com/1117-bunton/sale_94734642,"1117 Bunton, Houston, TX 77009",249900,None,06/04/2017
100,http://www.har.com/934-hillstar/sale_95817294,"934 Hillstar, HOUSTON, TX 77009",249900,None,06/04/2017
101,http://www.har.com/4818-texas-st/sale_46965964,"4818 Texas St, Houston, TX 77011",250000,None,06/04/2017
102,http://www.har.com/120-n-edgewood-st/sale_31636046,"120 N Edgewood St, Houston, TX 77011",250000,price-reduction,06/04/2017
103,http://www.har.com/838-26th/sale_8633353,"838 26th, Houston, TX 77008",250000,price-reduction,06/04/2017
104,http://www.har.com/805-enid/sale_2748879,"805 Enid, Houston, TX 77009",250000,None,06/04/2017
105,http://www.har.com/1122-w-31st-st/sale_80090664,"1122 W 31st St, Houston, TX 77018",250000,price-reduction,06/04/2017
106,http://www.har.com/1113-bunton/sale_75682475,"1113 Bunton, Houston, TX 77009",254900,None,06/04/2017
107,http://www.har.com/215-w-norma-st-103/sale_47694234,"215 W Norma St #103, Houston, TX 77009",255000,price-reduction,06/04/2017
108,http://www.har.com/319-caplin-st/sale_24013894,"319 Caplin St, Houston, TX 77022",257900,price-reduction,06/04/2017
109,http://www.har.com/725-worthshire-st/sale_88405174,"725 Worthshire St, Houston, TX 77008",259000,price-reduction,06/04/2017
110,http://www.har.com/215-w-norma-st-104/sale_42934895,"215 W Norma St #104, Houston, TX 77009",259000,price-reduction,06/04/2017
111,http://www.har.com/4908-feagan-st/sale_58023644,"4908 Feagan St, Houston, TX 77007",259900,None,06/04/2017
112,http://www.har.com/823-dorothy-st/sale_67285050,"823 Dorothy St, Houston, TX 77007",259900,price-reduction,06/04/2017
113,http://www.har.com/1131-louise-st/sale_43919456,"1131 Louise St, Houston, TX 77009",259900,price-reduction,06/04/2017
114,http://www.har.com/4205-bering-st/sale_56010145,"4205 Bering St, Houston, TX 77003",259900,price-reduction,06/04/2017
115,http://www.har.com/3911-kennon-st--a/sale_74320604,"3911 Kennon St  A, Houston, TX 77009",260000,None,06/04/2017
116,http://www.har.com/4314-allen-st/sale_70277407,"4314 Allen St, Houston, TX 77007",260000,None,06/04/2017
117,http://www.har.com/4343-cetti/sale_61460464,"4343 Cetti, Houston, TX 77009",264900,None,06/04/2017
118,http://www.har.com/5110-prosperity-cir/sale_37389426,"5110 Prosperity Cir, Houston, TX 77018",265000,None,06/04/2017
119,http://www.har.com/135-n-maplewood-st/sale_3126419,"135 N Maplewood St, Houston, TX 77011",265000,price-reduction,06/04/2017
120,http://www.har.com/1918-goliad-st/sale_52642521,"1918 Goliad St, Houston, TX 77007",268000,None,06/04/2017
121,http://www.har.com/505-e-40th-st/sale_92213424,"505 E 40th St, Houston, TX 77022",269000,None,06/04/2017
122,http://www.har.com/5817-darling-st--f/sale_41823743,"5817 Darling St  F, Houston, TX 77007",269000,None,06/04/2017
123,http://www.har.com/5309-avenue-j/sale_24647219,"5309 Avenue J, Houston, TX 77011",269000,None,06/04/2017
124,http://www.har.com/4511-sharon-st/sale_58335764,"4511 Sharon St, Houston, TX 77020",269000,None,06/04/2017
125,http://www.har.com/17-waugh-dr-209/sale_55215583,"17 Waugh Dr #209, Houston, TX 77007",269000,price-reduction,06/04/2017
126,http://www.har.com/526-e-40th-1_2-st/sale_33716894,"526 E 40th 1/2 St, Houston, TX 77022",269000,None,06/04/2017
127,http://www.har.com/522-e-40th-1_2-st/sale_57726464,"522 E 40th 1/2 St, Houston, TX 77022",269000,None,06/04/2017
128,http://www.har.com/405-e-42nd-st/sale_84654231,"405 E 42nd St, Houston, TX 77022",269000,None,06/04/2017
129,http://www.har.com/5314-san-juan-st/sale_32207472,"5314 San Juan St, Houston, TX 77020",269000,None,06/04/2017
130,http://www.har.com/5515-san-juan-st/sale_5918334,"5515 San Juan St, Houston, TX 77020",269000,None,06/04/2017
131,http://www.har.com/3204-cline-st--d/sale_75168885,"3204 Cline St # D, Houston, TX 77020",269500,None,06/04/2017
132,http://www.har.com/1712-aden-dr/sale_88991254,"1712 Aden Dr, Houston, TX 77003",269900,None,06/04/2017
133,http://www.har.com/1312-live-oak-st-106/sale_70749914,"1312 Live Oak St #106, Houston, TX 77003",269900,None,06/04/2017
134,http://www.har.com/928-mckinney-park-ln/sale_35344189,"928 Mckinney Park Ln, Houston, TX 77003",270000,None,06/04/2017
135,http://www.har.com/245-julia-street/sale_90658923,"245 Julia Street, HOUSTON, TX 77022",270000,None,06/04/2017
136,http://www.har.com/2219-runnels-st/sale_61367895,"2219 Runnels St, Houston, TX 77003",274000,price-reduction,06/04/2017
137,http://www.har.com/524-westcross/sale_20358455,"524 Westcross, Houston, TX 77018",274900,None,06/04/2017
138,http://www.har.com/530-westcross/sale_75095453,"530 Westcross, Houston, TX 77018",274900,None,06/04/2017
139,http://www.har.com/532-westcross/sale_27308419,"532 Westcross, Houston, TX 77018",274900,None,06/04/2017
140,http://www.har.com/4806-b-terry/sale_97919014,"4806 B Terry, Houston, TX 77009",274900,price-reduction,06/04/2017
141,http://www.har.com/4806-a-terry/sale_43935854,"4806 A Terry, Houston, TX 77009",274900,price-reduction,06/04/2017
142,http://www.har.com/518-westcross/sale_17535517,"518 Westcross, Houston, TX 77018",274900,price-reduction,06/04/2017
143,http://www.har.com/802-w-heights-hollow-ln/sale_33804466,"802 W Heights Hollow Ln, Houston, TX 77007",275000,None,06/04/2017
144,http://www.har.com/1901-fletcher-st/sale_15253494,"1901 Fletcher St, Houston, TX 77009",275000,None,06/04/2017
145,http://www.har.com/253-julia-street/sale_73039257,"253 Julia Street, HOUSTON, TX 77022",275000,None,06/04/2017
146,http://www.har.com/4506-averill-st/sale_58201562,"4506 Averill St, Houston, TX 77009",275000,None,06/04/2017
147,http://www.har.com/406-e-41st-b/sale_42088334,"406 E 41st B, Houston, TX 77022",275000,None,06/04/2017
148,http://www.har.com/1602-hamblen-st/sale_10353420,"1602 Hamblen St, Houston, TX 77009",275000,price-reduction,06/04/2017
149,http://www.har.com/603-vincent-st/sale_16159042,"603 Vincent St, Houston, TX 77009",275000,price-reduction,06/04/2017
150,http://www.har.com/324-e-39th-st/sale_39925442,"324 E 39th St, Houston, TX 77018",275000,price-reduction,06/04/2017
151,http://www.har.com/715-e-29th-st/sale_33043308,"715 E 29th St, Houston, TX 77009",275000,price-reduction,06/04/2017
